BGGId,Name,Description,YearPublished,GameWeight,AvgRating,MinPlayers,MaxPlayers,NumUserRatings,NumExpansions,Family,ImagePath
13,Catan,"Trade, build, and settle the island of Catan.",1995,2.3,7.2,3,4,400000,6,Trading,https://picsum.photos/seed/catan/600/600
9209,Ticket to Ride,Collect cards to claim railway routes across a map.,2004,1.9,7.4,2,5,350000,8,Route Building,https://picsum.photos/seed/ticket-to-ride/600/600
822,Carcassonne,Tile-laying game of building a medieval landscape.,2000,1.9,7.4,2,5,300000,10,Tile Placement,https://picsum.photos/seed/carcassonne/600/600
30549,Pandemic,Work together to stop global disease outbreaks.,2008,2.4,7.6,2,4,280000,3,Cooperative,https://picsum.photos/seed/pandemic/600/600
230802,Azul,Draft tiles to complete beautiful patterns.,2017,1.8,7.8,2,4,200000,2,Abstract,https://picsum.photos/seed/azul/600/600
148228,Splendor,Collect gems and develop your trade empire.,2014,1.8,7.4,2,4,220000,2,Engine Building,https://picsum.photos/seed/splendor/600/600
36218,Dominion,Build a deck to grow your kingdom.,2008,2.3,7.6,2,4,210000,12,Deck Building,https://picsum.photos/seed/dominion/600/600
174430,Gloomhaven,Tactical combat and legacy campaign adventure.,2017,3.9,8.6,1,4,140000,2,Dungeon Crawler,https://picsum.photos/seed/gloomhaven/600/600
167791,Terraforming Mars,Lead a corporation to terraform the red planet.,2016,3.3,8.4,1,5,200000,5,Engine Building,https://picsum.photos/seed/terraforming-mars/600/600
68448,7 Wonders,Draft cards and develop a civilization.,2010,2.3,7.7,2,7,230000,4,Card Drafting,https://picsum.photos/seed/7-wonders/600/600
169786,Scythe,Alternate-history strategy with mechs and farming.,2016,3.4,8.2,1,5,170000,3,Area Control,https://picsum.photos/seed/scythe/600/600
266192,Wingspan,Attract birds to build a wildlife preserve.,2019,2.4,8.0,1,5,190000,3,Engine Building,https://picsum.photos/seed/wingspan/600/600
31260,Agricola,Develop a farm and feed your family.,2007,3.6,7.9,1,5,150000,4,Worker Placement,https://picsum.photos/seed/agricola/600/600
181,Risk,Classic world domination strategy game.,1959,2.1,6.1,2,6,180000,3,Area Control,https://picsum.photos/seed/risk/600/600
1406,Monopoly,"Buy, trade, and build to bankrupt opponents.",1935,1.7,4.4,2,8,250000,6,Classic,https://picsum.photos/seed/monopoly/600/600
171,Chess,Abstract strategy game of kings and queens.,1475,3.7,7.2,2,2,500000,0,Abstract,https://picsum.photos/seed/chess/600/600
161936,Pandemic Legacy Season 1,Campaign version of Pandemic with legacy elements.,2015,2.8,8.6,2,4,120000,1,Legacy,https://picsum.photos/seed/pandemic-legacy/600/600
178900,Codenames,Give clues to help your team find agents.,2015,1.3,7.9,2,8,200000,2,Party,https://picsum.photos/seed/codenames/600/600
39856,Dixit,Creative storytelling with surreal artwork.,2008,1.3,7.3,3,6,160000,8,Party,https://picsum.photos/seed/dixit/600/600
170216,Blood Rage,Viking clans fight before Ragnarok.,2015,2.9,8.0,2,4,90000,2,Area Control,https://picsum.photos/seed/blood-rage/600/600
15987,Arkham Horror,Cooperative horror in the Lovecraft universe.,2005,3.3,7.2,1,8,80000,8,Cooperative,https://picsum.photos/seed/arkham-horror/600/600
237182,Root,Asymmetric factions battle in a woodland war.,2018,3.8,8.0,2,4,90000,3,Asymmetric,https://picsum.photos/seed/root/600/600
284083,The Crew,Cooperative trick-taking in space.,2019,2.0,8.0,2,5,90000,1,Cooperative,https://picsum.photos/seed/the-crew/600/600
162886,Spirit Island,Defend an island from invading colonists.,2017,3.9,8.4,1,4,100000,4,Cooperative,https://picsum.photos/seed/spirit-island/600/600
199792,Everdell,Build a woodland city with critters and cards.,2018,2.8,8.1,1,4,80000,4,Tableau Building,https://picsum.photos/seed/everdell/600/600
